Date,tbill_rate
1/2/02,1.71
1/3/02,1.7
1/4/02,1.69
1/7/02,1.66
1/8/02,1.65
1/9/02,1.65
1/10/02,1.65
1/11/02,1.55
1/14/02,1.55
1/15/02,1.57
1/16/02,1.58
1/17/02,1.61
1/18/02,1.59
1/22/02,1.66
1/23/02,1.68
1/24/02,1.69
1/25/02,1.69
1/28/02,1.7
1/29/02,1.69
1/30/02,1.72
1/31/02,1.73
2/1/02,1.73
2/4/02,1.74
2/5/02,1.73
2/6/02,1.71
2/7/02,1.7
2/8/02,1.7
2/11/02,1.7
2/12/02,1.72
2/13/02,1.73
2/14/02,1.72
2/15/02,1.71
2/19/02,1.71
2/20/02,1.73
2/21/02,1.73
2/22/02,1.73
2/25/02,1.74
2/26/02,1.74
2/27/02,1.74
2/28/02,1.76
3/1/02,1.74
3/4/02,1.76
3/5/02,1.77
3/6/02,1.75
3/7/02,1.75
3/8/02,1.77
3/11/02,1.8
3/12/02,1.81
3/13/02,1.79
3/14/02,1.82
3/15/02,1.82
3/18/02,1.83
3/19/02,1.82
3/20/02,1.81
3/21/02,1.8
3/22/02,1.8
3/25/02,1.79
3/26/02,1.78
3/27/02,1.78
3/28/02,1.76
4/1/02,1.75
4/2/02,1.77
4/3/02,1.76
4/4/02,1.75
4/5/02,1.73
4/8/02,1.72
4/9/02,1.7
4/10/02,1.68
4/11/02,1.69
4/12/02,1.68
4/15/02,1.68
4/16/02,1.71
4/17/02,1.7
4/18/02,1.69
4/19/02,1.7
4/22/02,1.69
4/23/02,1.7
4/24/02,1.69
4/25/02,1.71
4/26/02,1.72
4/29/02,1.74
4/30/02,1.74
5/1/02,1.74
5/2/02,1.74
5/3/02,1.73
5/6/02,1.73
5/7/02,1.73
5/8/02,1.73
5/9/02,1.74
5/10/02,1.74
5/13/02,1.74
5/14/02,1.75
5/15/02,1.73
5/16/02,1.72
5/17/02,1.73
5/20/02,1.72
5/21/02,1.72
5/22/02,1.71
5/23/02,1.71
5/24/02,1.71
5/28/02,1.73
5/29/02,1.72
5/30/02,1.72
5/31/02,1.71
6/3/02,1.72
6/4/02,1.73
6/5/02,1.72
6/6/02,1.71
6/7/02,1.71
6/10/02,1.72
6/11/02,1.72
6/12/02,1.71
6/13/02,1.69
6/14/02,1.68
6/17/02,1.7
6/18/02,1.7
6/19/02,1.68
6/20/02,1.7
6/21/02,1.69
6/24/02,1.7
6/25/02,1.7
6/26/02,1.67
6/27/02,1.67
6/28/02,1.67
7/1/02,1.68
7/2/02,1.69
7/3/02,1.69
7/5/02,1.69
7/8/02,1.7
7/9/02,1.69
7/10/02,1.69
7/11/02,1.69
7/12/02,1.68
7/15/02,1.68
7/16/02,1.69
7/17/02,1.69
7/18/02,1.69
7/19/02,1.68
7/22/02,1.68
7/23/02,1.67
7/24/02,1.66
7/25/02,1.67
